,success,terms,privacy,timeframe,start_date,end_date,source,quotes
2025-03-11,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.916285, 'USDJPY': 148.041999, 'USDGBP': 0.772545, 'USDAUD': 1.58859, 'USDNZD': 1.750624, 'USDCAD': 1.443335, 'USDCHF': 0.883497, 'USDCNY': 7.260498, 'USDCNH': 7.22919, 'USDHKD': 7.77073, 'USDSGD': 1.332293, 'USDINR': 87.291384, 'USDKRW': 1457.078575, 'USDTWD': 32.903071, 'USDTHB': 33.865815, 'USDIDR': 16372.221396, 'USDMYR': 4.421035, 'USDPHP': 57.457271, 'USDVND': 25474.745623, 'USDBRL': 5.810097, 'USDMXN': 20.27269, 'USDCLP': 937.740008, 'USDCOP': 4125, 'USDARS': 1065.551797, 'USDRUB': 87.680405, 'USDZAR': 18.214015, 'USDTRY': 36.60188, 'USDAED': 3.672699, 'USDSAR': 3.749903, 'USDQAR': 3.639798, 'USDKWD': 0.308198, 'USDBHD': 0.37689, 'USDOMR': 0.385016, 'USDILS': 3.649955}"
2025-03-12,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.918635, 'USDJPY': 148.287037, 'USDGBP': 0.771385, 'USDAUD': 1.580515, 'USDNZD': 1.743041, 'USDCAD': 1.436245, 'USDCHF': 0.881845, 'USDCNY': 7.23785, 'USDCNH': 7.23783, 'USDHKD': 7.76918, 'USDSGD': 1.330473, 'USDINR': 87.18049, 'USDKRW': 1453.621091, 'USDTWD': 32.910194, 'USDTHB': 33.76054, 'USDIDR': 16449.662446, 'USDMYR': 4.414105, 'USDPHP': 57.401885, 'USDVND': 25414.898121, 'USDBRL': 5.799298, 'USDMXN': 20.176915, 'USDCLP': 939.089789, 'USDCOP': 4109.5, 'USDARS': 1065.8701, 'USDRUB': 85.197793, 'USDZAR': 18.355037, 'USDTRY': 36.59951, 'USDAED': 3.672698, 'USDSAR': 3.750315, 'USDQAR': 3.639568, 'USDKWD': 0.308081, 'USDBHD': 0.376941, 'USDOMR': 0.384978, 'USDILS': 3.64061}"
2025-03-13,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.921245, 'USDJPY': 147.959497, 'USDGBP': 0.77175, 'USDAUD': 1.59058, 'USDNZD': 1.75369, 'USDCAD': 1.442655, 'USDCHF': 0.882695, 'USDCNY': 7.23785, 'USDCNH': 7.24863, 'USDHKD': 7.77186, 'USDSGD': 1.335895, 'USDINR': 86.92235, 'USDKRW': 1453.680208, 'USDTWD': 32.983401, 'USDTHB': 33.68991, 'USDIDR': 16380.3, 'USDMYR': 4.437952, 'USDPHP': 57.345008, 'USDVND': 25510, 'USDBRL': 5.799941, 'USDMXN': 20.08535, 'USDCLP': 938.200431, 'USDCOP': 4125, 'USDARS': 1066.375104, 'USDRUB': 86.24962, 'USDZAR': 18.288983, 'USDTRY': 36.684598, 'USDAED': 3.672701, 'USDSAR': 3.750501, 'USDQAR': 3.644343, 'USDKWD': 0.30812, 'USDBHD': 0.376955, 'USDOMR': 0.385018, 'USDILS': 3.66348}"
2025-03-14,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.91555, 'USDJPY': 148.63304, 'USDGBP': 0.772618, 'USDAUD': 1.580804, 'USDNZD': 1.740281, 'USDCAD': 1.43875, 'USDCHF': 0.884904, 'USDCNY': 7.23785, 'USDCNH': 7.239504, 'USDHKD': 7.772765, 'USDSGD': 1.335889, 'USDINR': 86.944753, 'USDKRW': 1455.933791, 'USDTWD': 32.985272, 'USDTHB': 33.70909, 'USDIDR': 16382.110177, 'USDMYR': 4.434705, 'USDPHP': 57.358794, 'USDVND': 25501.632362, 'USDBRL': 5.744604, 'USDMXN': 19.93505, 'USDCLP': 930.290396, 'USDCOP': 4097.1, 'USDARS': 1062.293889, 'USDRUB': 86.40407, 'USDZAR': 18.180604, 'USDTRY': 36.632904, 'USDAED': 3.67265, 'USDSAR': 3.750373, 'USDQAR': 3.640374, 'USDKWD': 0.308156, 'USDBHD': 0.377039, 'USDOMR': 0.384993, 'USDILS': 3.64425}"
2025-03-15,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.91555, 'USDJPY': 148.63304, 'USDGBP': 0.772648, 'USDAUD': 1.579779, 'USDNZD': 1.740281, 'USDCAD': 1.43865, 'USDCHF': 0.882751, 'USDCNY': 7.23785, 'USDCNH': 7.239504, 'USDHKD': 7.772765, 'USDSGD': 1.334503, 'USDINR': 86.925674, 'USDKRW': 1452.085156, 'USDTWD': 32.945907, 'USDTHB': 33.614436, 'USDIDR': 16327.3544, 'USDMYR': 4.445152, 'USDPHP': 57.228759, 'USDVND': 25476.699013, 'USDBRL': 5.745604, 'USDMXN': 19.93505, 'USDCLP': 929.613184, 'USDCOP': 4115.44976, 'USDARS': 1063.861021, 'USDRUB': 85.371132, 'USDZAR': 18.180604, 'USDTRY': 36.632904, 'USDAED': 3.672704, 'USDSAR': 3.750373, 'USDQAR': 3.640374, 'USDKWD': 0.308113, 'USDBHD': 0.376104, 'USDOMR': 0.385022, 'USDILS': 3.64425}"
2025-03-16,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.919055, 'USDJPY': 148.6025, 'USDGBP': 0.773401, 'USDAUD': 1.580805, 'USDNZD': 1.738625, 'USDCAD': 1.436995, 'USDCHF': 0.884165, 'USDCNY': 7.23785, 'USDCNH': 7.23147, 'USDHKD': 7.77297, 'USDSGD': 1.333595, 'USDINR': 86.946502, 'USDKRW': 1451.049768, 'USDTWD': 32.940955, 'USDTHB': 33.661499, 'USDIDR': 16328, 'USDMYR': 4.446502, 'USDPHP': 57.322006, 'USDVND': 25515, 'USDBRL': 5.745602, 'USDMXN': 19.92931, 'USDCLP': 929.613184, 'USDCOP': 4115.44976, 'USDARS': 1067.864596, 'USDRUB': 85.466944, 'USDZAR': 18.20528, 'USDTRY': 36.66501, 'USDAED': 3.67265, 'USDSAR': 3.7504, 'USDQAR': 3.636164, 'USDKWD': 0.30807, 'USDBHD': 0.376104, 'USDOMR': 0.38363, 'USDILS': 3.646945}"
2025-03-17,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.915875, 'USDJPY': 149.383501, 'USDGBP': 0.77013, 'USDAUD': 1.56701, 'USDNZD': 1.71708, 'USDCAD': 1.429615, 'USDCHF': 0.881325, 'USDCNY': 7.233201, 'USDCNH': 7.22838, 'USDHKD': 7.77035, 'USDSGD': 1.330235, 'USDINR': 86.91665, 'USDKRW': 1443.589936, 'USDTWD': 32.971395, 'USDTHB': 33.597676, 'USDIDR': 16386.75, 'USDMYR': 4.443497, 'USDPHP': 57.305028, 'USDVND': 25530, 'USDBRL': 5.685127, 'USDMXN': 19.958805, 'USDCLP': 920.485453, 'USDCOP': 4073.25, 'USDARS': 1067.624975, 'USDRUB': 83.44965, 'USDZAR': 18.09006, 'USDTRY': 36.648815, 'USDAED': 3.6727, 'USDSAR': 3.750935, 'USDQAR': 3.641021, 'USDKWD': 0.30797, 'USDBHD': 0.376793, 'USDOMR': 0.385018, 'USDILS': 3.651955}"
2025-03-18,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.914155, 'USDJPY': 149.458505, 'USDGBP': 0.769245, 'USDAUD': 1.572105, 'USDNZD': 1.71888, 'USDCAD': 1.430045, 'USDCHF': 0.876875, 'USDCNY': 7.2278, 'USDCNH': 7.23015, 'USDHKD': 7.76993, 'USDSGD': 1.330975, 'USDINR': 86.57635, 'USDKRW': 1449.939609, 'USDTWD': 32.994199, 'USDTHB': 33.640169, 'USDIDR': 16521.25, 'USDMYR': 4.443954, 'USDPHP': 57.264961, 'USDVND': 25525, 'USDBRL': 5.673602, 'USDMXN': 19.90813, 'USDCLP': 917.189944, 'USDCOP': 4119.25, 'USDARS': 1068.139702, 'USDRUB': 81.751515, 'USDZAR': 18.12047, 'USDTRY': 36.700598, 'USDAED': 3.6727, 'USDSAR': 3.750557, 'USDQAR': 3.640503, 'USDKWD': 0.30794, 'USDBHD': 0.37686, 'USDOMR': 0.384971, 'USDILS': 3.66843}"
2025-03-19,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.916475, 'USDJPY': 148.495034, 'USDGBP': 0.76865, 'USDAUD': 1.571435, 'USDNZD': 1.71799, 'USDCAD': 1.431985, 'USDCHF': 0.876603, 'USDCNY': 7.23075, 'USDCNH': 7.228505, 'USDHKD': 7.77016, 'USDSGD': 1.329505, 'USDINR': 86.330499, 'USDKRW': 1457.539966, 'USDTWD': 33.018297, 'USDTHB': 33.560182, 'USDIDR': 16520.3, 'USDMYR': 4.430106, 'USDPHP': 57.227504, 'USDVND': 25545, 'USDBRL': 5.649602, 'USDMXN': 20.0382, 'USDCLP': 916.789902, 'USDCOP': 4152.24, 'USDARS': 1068.767296, 'USDRUB': 83.98424, 'USDZAR': 18.114503, 'USDTRY': 37.998201, 'USDAED': 3.672895, 'USDSAR': 3.750949, 'USDQAR': 3.641004, 'USDKWD': 0.30792, 'USDBHD': 0.376816, 'USDOMR': 0.384889, 'USDILS': 3.66434}"
2025-03-20,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.921115, 'USDJPY': 148.60102, 'USDGBP': 0.771175, 'USDAUD': 1.58642, 'USDNZD': 1.735795, 'USDCAD': 1.432375, 'USDCHF': 0.881477, 'USDCNY': 7.248198, 'USDCNH': 7.25309, 'USDHKD': 7.77265, 'USDSGD': 1.334655, 'USDINR': 86.33635, 'USDKRW': 1466.91933, 'USDTWD': 33.002298, 'USDTHB': 33.729935, 'USDIDR': 16506.5, 'USDMYR': 4.425501, 'USDPHP': 57.210041, 'USDVND': 25560, 'USDBRL': 5.6754, 'USDMXN': 20.1425, 'USDCLP': 927.050082, 'USDCOP': 4180.15, 'USDARS': 1068.745055, 'USDRUB': 84.924979, 'USDZAR': 18.1525, 'USDTRY': 37.981655, 'USDAED': 3.673027, 'USDSAR': 3.751192, 'USDQAR': 3.6405, 'USDKWD': 0.30804, 'USDBHD': 0.376894, 'USDOMR': 0.384928, 'USDILS': 3.677503}"
