,success,terms,privacy,timestamp,source,quotes
USDEUR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,0.85458
USDJPY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,150.379498
USDGBP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,0.74213
USDAUD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,1.511956
USDNZD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,1.71546
USDCAD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,1.394725
USDCHF,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,0.795435
USDCNY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,7.119499
USDCNH,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,7.137045
USDHKD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,7.78188
USDSGD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,1.290915
USDINR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,88.714603
USDKRW,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,1409.114987
USDTWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,30.355497
USDTHB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,32.445503
USDIDR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,16541.3
USDMYR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,4.214023
USDPHP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,58.094501
USDVND,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,26364.0
USDBRL,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,5.311398
USDMXN,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,18.34186
USDCLP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,961.930215
USDCOP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,3863.7
USDARS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,1429.737898
USDRUB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,82.99856
USDZAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,17.16565
USDTRY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,41.704301
USDAED,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,3.672496
USDSAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,3.75071
USDQAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,3.641105
USDKWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,0.30614
USDBHD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,0.376957
USDOMR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,0.3845
USDILS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812124,USD,3.275225
