,success,terms,privacy,timestamp,source,quotes
USDEUR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,0.85464
USDJPY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,150.348503
USDGBP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,0.74205
USDAUD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,1.511944
USDNZD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,1.715516
USDCAD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,1.394735
USDCHF,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,0.795298
USDCNY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,7.1195
USDCNH,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,7.137345
USDHKD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,7.78205
USDSGD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,1.290915
USDINR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,88.721195
USDKRW,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,1409.109517
USDTWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,30.361797
USDTHB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,32.439983
USDIDR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,16543.15
USDMYR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,4.214019
USDPHP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,58.094497
USDVND,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,26364.0
USDBRL,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,5.3114
USDMXN,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,18.34218
USDCLP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,961.929815
USDCOP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,3863.7
USDARS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,1429.743902
USDRUB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,83.000731
USDZAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,17.17299
USDTRY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,41.7042
USDAED,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,3.672495
USDSAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,3.750779
USDQAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,3.641096
USDKWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,0.30613
USDBHD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,0.37696
USDOMR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,0.384489
USDILS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812302,USD,3.275225
