,success,terms,privacy,timestamp,source,quotes
USDEUR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,0.856104
USDJPY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,150.599505
USDGBP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,0.74438
USDAUD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,1.517543
USDNZD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,1.72106
USDCAD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,1.396085
USDCHF,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,0.797008
USDCNY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,7.1195
USDCNH,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,7.140835
USDHKD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,7.78313
USDSGD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,1.29245
USDINR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,88.736298
USDKRW,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,1413.054976
USDTWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,30.459497
USDTHB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,32.539035
USDIDR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,16551.6
USDMYR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,4.215978
USDPHP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,58.186044
USDVND,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,26365.0
USDBRL,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,5.310602
USDMXN,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,18.37975
USDCLP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,961.930554
USDCOP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,3863.7
USDARS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,1429.743901
USDRUB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,82.34648
USDZAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,17.22655
USDTRY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,41.687797
USDAED,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,3.672501
USDSAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,3.750786
USDQAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,3.641099
USDKWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,0.30622
USDBHD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,0.377008
USDOMR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,0.384495
USDILS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759821547,USD,3.279645
