,success,terms,privacy,timestamp,source,quotes
USDEUR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,0.85541
USDJPY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,150.503499
USDGBP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,0.742965
USDAUD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,1.513878
USDNZD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,1.71761
USDCAD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,1.395185
USDCHF,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,0.796105
USDCNY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,7.119503
USDCNH,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,7.138699
USDHKD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,7.782225
USDSGD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,1.291505
USDINR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,88.754599
USDKRW,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,1410.696929
USDTWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,30.3748
USDTHB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,32.4855
USDIDR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,16562.0
USDMYR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,4.214001
USDPHP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,58.151956
USDVND,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,26365.0
USDBRL,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,5.312603
USDMXN,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,18.355102
USDCLP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,961.929939
USDCOP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,3863.7
USDARS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,1429.737898
USDRUB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,83.003212
USDZAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,17.176597
USDTRY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,41.703702
USDAED,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,3.672502
USDSAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,3.75063
USDQAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,3.641098
USDKWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,0.30618
USDBHD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,0.376981
USDOMR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,0.384497
USDILS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759814943,USD,3.277496
